,hlayer_size,activation,crossover_method,mutation_method,mutation_rate,gen,avg,best
102,"(1,)",tanh,uniform,nullify,0.1,2.0,27.54,43.0
102,"(1,)",tanh,uniform,nullify,0.1,3.0,24.34,45.0
102,"(1,)",tanh,uniform,nullify,0.1,4.0,24.74,95.0
102,"(1,)",tanh,uniform,nullify,0.1,5.0,22.1,40.0
102,"(1,)",tanh,uniform,nullify,0.1,6.0,23.84,91.0
102,"(1,)",tanh,uniform,nullify,0.1,7.0,23.46,90.0
102,"(1,)",tanh,uniform,nullify,0.1,8.0,223.34,9999.0
103,"(1,)",tanh,uniform,nullify,0.5,1.0,32.72,42.0
103,"(1,)",tanh,uniform,nullify,0.5,2.0,13.38,142.0
103,"(1,)",tanh,uniform,nullify,0.5,3.0,113.94,4723.0
104,"(1,)",tanh,uniform,nullify,lambda s: 5/s,1.0,31.88,41.0
104,"(1,)",tanh,uniform,nullify,lambda s: 5/s,2.0,21.0,102.0
104,"(1,)",tanh,uniform,nullify,lambda s: 5/s,3.0,218.02,9999.0
105,"(1,)",tanh,uniform,permutate,0.001,1.0,31.96,40.0
105,"(1,)",tanh,uniform,permutate,0.001,2.0,32.2,41.0
105,"(1,)",tanh,uniform,permutate,0.001,3.0,32.66,43.0
105,"(1,)",tanh,uniform,permutate,0.001,4.0,33.08,41.0
105,"(1,)",tanh,uniform,permutate,0.001,5.0,31.82,42.0
105,"(1,)",tanh,uniform,permutate,0.001,6.0,32.54,41.0
105,"(1,)",tanh,uniform,permutate,0.001,7.0,31.78,39.0
105,"(1,)",tanh,uniform,permutate,0.001,8.0,32.86,40.0
105,"(1,)",tanh,uniform,permutate,0.001,9.0,32.0,42.0
105,"(1,)",tanh,uniform,permutate,0.001,10.0,31.68,41.0
106,"(1,)",tanh,uniform,permutate,0.01,1.0,32.22,41.0
106,"(1,)",tanh,uniform,permutate,0.01,2.0,32.3,41.0
106,"(1,)",tanh,uniform,permutate,0.01,3.0,31.34,38.0
106,"(1,)",tanh,uniform,permutate,0.01,4.0,32.0,40.0
106,"(1,)",tanh,uniform,permutate,0.01,5.0,32.56,41.0
106,"(1,)",tanh,uniform,permutate,0.01,6.0,31.68,41.0
106,"(1,)",tanh,uniform,permutate,0.01,7.0,32.74,41.0
106,"(1,)",tanh,uniform,permutate,0.01,8.0,32.3,41.0
106,"(1,)",tanh,uniform,permutate,0.01,9.0,32.3,40.0
106,"(1,)",tanh,uniform,permutate,0.01,10.0,32.54,44.0
107,"(1,)",tanh,uniform,permutate,0.1,1.0,32.4,41.0
107,"(1,)",tanh,uniform,permutate,0.1,2.0,31.5,41.0
107,"(1,)",tanh,uniform,permutate,0.1,3.0,32.18,40.0
107,"(1,)",tanh,uniform,permutate,0.1,4.0,32.1,44.0
107,"(1,)",tanh,uniform,permutate,0.1,5.0,32.12,42.0
107,"(1,)",tanh,uniform,permutate,0.1,6.0,30.48,40.0
107,"(1,)",tanh,uniform,permutate,0.1,7.0,32.94,41.0
107,"(1,)",tanh,uniform,permutate,0.1,8.0,31.82,43.0
107,"(1,)",tanh,uniform,permutate,0.1,9.0,32.48,43.0
107,"(1,)",tanh,uniform,permutate,0.1,10.0,30.3,39.0
108,"(1,)",tanh,uniform,permutate,0.5,1.0,31.88,41.0
108,"(1,)",tanh,uniform,permutate,0.5,2.0,31.96,72.0
108,"(1,)",tanh,uniform,permutate,0.5,3.0,33.7,74.0
108,"(1,)",tanh,uniform,permutate,0.5,4.0,36.04,121.0
108,"(1,)",tanh,uniform,permutate,0.5,5.0,35.38,110.0
108,"(1,)",tanh,uniform,permutate,0.5,6.0,38.64,114.0
108,"(1,)",tanh,uniform,permutate,0.5,7.0,53.98,120.0
108,"(1,)",tanh,uniform,permutate,0.5,8.0,47.18,115.0
108,"(1,)",tanh,uniform,permutate,0.5,9.0,44.26,120.0
108,"(1,)",tanh,uniform,permutate,0.5,10.0,60.74,121.0
109,"(1,)",tanh,uniform,permutate,lambda s: 5/s,1.0,32.3,41.0
109,"(1,)",tanh,uniform,permutate,lambda s: 5/s,2.0,32.88,72.0
109,"(1,)",tanh,uniform,permutate,lambda s: 5/s,3.0,33.3,73.0
109,"(1,)",tanh,uniform,permutate,lambda s: 5/s,4.0,37.44,69.0
109,"(1,)",tanh,uniform,permutate,lambda s: 5/s,5.0,45.62,68.0
109,"(1,)",tanh,uniform,permutate,lambda s: 5/s,6.0,50.96,76.0
109,"(1,)",tanh,uniform,permutate,lambda s: 5/s,7.0,53.4,74.0
109,"(1,)",tanh,uniform,permutate,lambda s: 5/s,8.0,56.5,80.0
109,"(1,)",tanh,uniform,permutate,lambda s: 5/s,9.0,59.06,80.0
109,"(1,)",tanh,uniform,permutate,lambda s: 5/s,10.0,58.72,73.0
110,"(1,)",tanh,uniform,normal,0.001,1.0,33.06,39.0
110,"(1,)",tanh,uniform,normal,0.001,2.0,32.5,40.0
110,"(1,)",tanh,uniform,normal,0.001,3.0,32.64,56.0
110,"(1,)",tanh,uniform,normal,0.001,4.0,33.0,71.0
110,"(1,)",tanh,uniform,normal,0.001,5.0,33.2,76.0
110,"(1,)",tanh,uniform,normal,0.001,6.0,31.74,50.0
110,"(1,)",tanh,uniform,normal,0.001,7.0,31.04,46.0
110,"(1,)",tanh,uniform,normal,0.001,8.0,31.86,71.0
110,"(1,)",tanh,uniform,normal,0.001,9.0,32.96,68.0
110,"(1,)",tanh,uniform,normal,0.001,10.0,33.32,72.0
111,"(1,)",tanh,uniform,normal,0.01,1.0,31.94,39.0
111,"(1,)",tanh,uniform,normal,0.01,2.0,34.1,105.0
111,"(1,)",tanh,uniform,normal,0.01,3.0,33.84,104.0
111,"(1,)",tanh,uniform,normal,0.01,4.0,37.42,113.0
111,"(1,)",tanh,uniform,normal,0.01,5.0,43.22,109.0
111,"(1,)",tanh,uniform,normal,0.01,6.0,64.7,118.0
111,"(1,)",tanh,uniform,normal,0.01,7.0,278.98,9999.0
112,"(1,)",tanh,uniform,normal,0.1,1.0,31.88,42.0
112,"(1,)",tanh,uniform,normal,0.1,2.0,33.14,121.0
112,"(1,)",tanh,uniform,normal,0.1,3.0,408.36,9999.0
113,"(1,)",tanh,uniform,normal,0.5,1.0,32.18,43.0
113,"(1,)",tanh,uniform,normal,0.5,2.0,37.1,449.0
113,"(1,)",tanh,uniform,normal,0.5,3.0,446.66,9999.0
114,"(1,)",tanh,uniform,normal,lambda s: 5/s,1.0,32.74,40.0
114,"(1,)",tanh,uniform,normal,lambda s: 5/s,2.0,26.9,78.0
114,"(1,)",tanh,uniform,normal,lambda s: 5/s,3.0,34.24,144.0
114,"(1,)",tanh,uniform,normal,lambda s: 5/s,4.0,249.12,9999.0
115,"(1,)",tanh,uniform,uniform,0.001,1.0,32.94,43.0
115,"(1,)",tanh,uniform,uniform,0.001,2.0,33.1,41.0
115,"(1,)",tanh,uniform,uniform,0.001,3.0,33.5,42.0
115,"(1,)",tanh,uniform,uniform,0.001,4.0,32.78,41.0
115,"(1,)",tanh,uniform,uniform,0.001,5.0,33.04,42.0
115,"(1,)",tanh,uniform,uniform,0.001,6.0,32.52,41.0
115,"(1,)",tanh,uniform,uniform,0.001,7.0,31.72,41.0
115,"(1,)",tanh,uniform,uniform,0.001,8.0,33.26,43.0
115,"(1,)",tanh,uniform,uniform,0.001,9.0,32.42,41.0
115,"(1,)",tanh,uniform,uniform,0.001,10.0,32.4,43.0
116,"(1,)",tanh,uniform,uniform,0.01,1.0,33.18,43.0
116,"(1,)",tanh,uniform,uniform,0.01,2.0,33.72,92.0
116,"(1,)",tanh,uniform,uniform,0.01,3.0,35.0,120.0
116,"(1,)",tanh,uniform,uniform,0.01,4.0,1035.98,9999.0
117,"(1,)",tanh,uniform,uniform,0.1,1.0,32.28,41.0
117,"(1,)",tanh,uniform,uniform,0.1,2.0,33.06,109.0
117,"(1,)",tanh,uniform,uniform,0.1,3.0,437.9,9999.0
118,"(1,)",tanh,uniform,uniform,0.5,1.0,32.88,42.0
118,"(1,)",tanh,uniform,uniform,0.5,2.0,218.52,9999.0
119,"(1,)",tanh,uniform,uniform,lambda s: 5/s,1.0,33.62,42.0
119,"(1,)",tanh,uniform,uniform,lambda s: 5/s,2.0,430.6,9999.0
120,"(1,)",relu,one-point,nullify,0.001,1.0,36.12,344.0
120,"(1,)",relu,one-point,nullify,0.001,2.0,207.46,526.0
120,"(1,)",relu,one-point,nullify,0.001,3.0,298.26,498.0
120,"(1,)",relu,one-point,nullify,0.001,4.0,334.88,472.0
120,"(1,)",relu,one-point,nullify,0.001,5.0,343.06,562.0
120,"(1,)",relu,one-point,nullify,0.001,6.0,363.9,464.0
120,"(1,)",relu,one-point,nullify,0.001,7.0,348.16,544.0
120,"(1,)",relu,one-point,nullify,0.001,8.0,356.24,566.0
120,"(1,)",relu,one-point,nullify,0.001,9.0,367.34,464.0
120,"(1,)",relu,one-point,nullify,0.001,10.0,378.36,505.0
121,"(1,)",relu,one-point,nullify,0.01,1.0,40.46,534.0
121,"(1,)",relu,one-point,nullify,0.01,2.0,245.46,579.0
121,"(1,)",relu,one-point,nullify,0.01,3.0,416.88,680.0
121,"(1,)",relu,one-point,nullify,0.01,4.0,429.36,573.0
121,"(1,)",relu,one-point,nullify,0.01,5.0,424.88,753.0
121,"(1,)",relu,one-point,nullify,0.01,6.0,449.48,599.0
121,"(1,)",relu,one-point,nullify,0.01,7.0,430.24,573.0
121,"(1,)",relu,one-point,nullify,0.01,8.0,472.88,670.0
121,"(1,)",relu,one-point,nullify,0.01,9.0,460.52,634.0
121,"(1,)",relu,one-point,nullify,0.01,10.0,454.7,603.0
122,"(1,)",relu,one-point,nullify,0.1,1.0,29.22,354.0
122,"(1,)",relu,one-point,nullify,0.1,2.0,92.26,378.0
122,"(1,)",relu,one-point,nullify,0.1,3.0,196.18,386.0
122,"(1,)",relu,one-point,nullify,0.1,4.0,203.3,454.0
122,"(1,)",relu,one-point,nullify,0.1,5.0,220.74,417.0
122,"(1,)",relu,one-point,nullify,0.1,6.0,219.24,387.0
122,"(1,)",relu,one-point,nullify,0.1,7.0,272.08,437.0
122,"(1,)",relu,one-point,nullify,0.1,8.0,219.76,411.0
122,"(1,)",relu,one-point,nullify,0.1,9.0,226.54,435.0
122,"(1,)",relu,one-point,nullify,0.1,10.0,231.52,448.0
123,"(1,)",relu,one-point,nullify,0.5,1.0,48.8,450.0
123,"(1,)",relu,one-point,nullify,0.5,2.0,49.68,545.0
123,"(1,)",relu,one-point,nullify,0.5,3.0,37.06,448.0
123,"(1,)",relu,one-point,nullify,0.5,4.0,41.22,252.0
123,"(1,)",relu,one-point,nullify,0.5,5.0,38.48,261.0
123,"(1,)",relu,one-point,nullify,0.5,6.0,22.9,242.0
123,"(1,)",relu,one-point,nullify,0.5,7.0,38.16,235.0
123,"(1,)",relu,one-point,nullify,0.5,8.0,39.3,236.0
123,"(1,)",relu,one-point,nullify,0.5,9.0,37.66,229.0
123,"(1,)",relu,one-point,nullify,0.5,10.0,42.5,242.0
124,"(1,)",relu,one-point,nullify,lambda s: 5/s,1.0,37.12,458.0
124,"(1,)",relu,one-point,nullify,lambda s: 5/s,2.0,191.12,519.0
124,"(1,)",relu,one-point,nullify,lambda s: 5/s,3.0,305.56,548.0
124,"(1,)",relu,one-point,nullify,lambda s: 5/s,4.0,323.78,507.0
124,"(1,)",relu,one-point,nullify,lambda s: 5/s,5.0,347.04,527.0
124,"(1,)",relu,one-point,nullify,lambda s: 5/s,6.0,359.82,499.0
124,"(1,)",relu,one-point,nullify,lambda s: 5/s,7.0,337.58,547.0
124,"(1,)",relu,one-point,nullify,lambda s: 5/s,8.0,383.96,491.0
124,"(1,)",relu,one-point,nullify,lambda s: 5/s,9.0,378.92,506.0
124,"(1,)",relu,one-point,nullify,lambda s: 5/s,10.0,387.44,527.0
125,"(1,)",relu,one-point,permutate,0.001,1.0,24.16,342.0
125,"(1,)",relu,one-point,permutate,0.001,2.0,74.22,366.0
125,"(1,)",relu,one-point,permutate,0.001,3.0,242.6,409.0
125,"(1,)",relu,one-point,permutate,0.001,4.0,281.36,394.0
125,"(1,)",relu,one-point,permutate,0.001,5.0,290.7,398.0
125,"(1,)",relu,one-point,permutate,0.001,6.0,316.26,411.0
125,"(1,)",relu,one-point,permutate,0.001,7.0,301.48,426.0
125,"(1,)",relu,one-point,permutate,0.001,8.0,302.96,437.0
125,"(1,)",relu,one-point,permutate,0.001,9.0,310.72,405.0
125,"(1,)",relu,one-point,permutate,0.001,10.0,303.24,435.0
126,"(1,)",relu,one-point,permutate,0.01,1.0,30.02,352.0
126,"(1,)",relu,one-point,permutate,0.01,2.0,159.92,471.0
126,"(1,)",relu,one-point,permutate,0.01,3.0,273.26,440.0
126,"(1,)",relu,one-point,permutate,0.01,4.0,321.42,471.0
126,"(1,)",relu,one-point,permutate,0.01,5.0,330.1,447.0
126,"(1,)",relu,one-point,permutate,0.01,6.0,355.22,499.0
126,"(1,)",relu,one-point,permutate,0.01,7.0,351.68,515.0
126,"(1,)",relu,one-point,permutate,0.01,8.0,353.14,480.0
126,"(1,)",relu,one-point,permutate,0.01,9.0,344.5,457.0
126,"(1,)",relu,one-point,permutate,0.01,10.0,349.38,496.0
127,"(1,)",relu,one-point,permutate,0.1,1.0,33.94,363.0
127,"(1,)",relu,one-point,permutate,0.1,2.0,140.02,444.0
127,"(1,)",relu,one-point,permutate,0.1,3.0,232.24,433.0
127,"(1,)",relu,one-point,permutate,0.1,4.0,296.2,452.0
127,"(1,)",relu,one-point,permutate,0.1,5.0,320.86,501.0
127,"(1,)",relu,one-point,permutate,0.1,6.0,303.5,466.0
127,"(1,)",relu,one-point,permutate,0.1,7.0,329.18,511.0
127,"(1,)",relu,one-point,permutate,0.1,8.0,329.06,487.0
127,"(1,)",relu,one-point,permutate,0.1,9.0,352.58,448.0
127,"(1,)",relu,one-point,permutate,0.1,10.0,343.62,619.0
128,"(1,)",relu,one-point,permutate,0.5,1.0,35.02,584.0
128,"(1,)",relu,one-point,permutate,0.5,2.0,182.2,558.0
128,"(1,)",relu,one-point,permutate,0.5,3.0,302.42,3645.0
129,"(1,)",relu,one-point,permutate,lambda s: 5/s,1.0,19.78,102.0
129,"(1,)",relu,one-point,permutate,lambda s: 5/s,2.0,45.76,155.0
129,"(1,)",relu,one-point,permutate,lambda s: 5/s,3.0,70.72,215.0
129,"(1,)",relu,one-point,permutate,lambda s: 5/s,4.0,74.84,163.0
129,"(1,)",relu,one-point,permutate,lambda s: 5/s,5.0,78.7,130.0
129,"(1,)",relu,one-point,permutate,lambda s: 5/s,6.0,83.54,172.0
129,"(1,)",relu,one-point,permutate,lambda s: 5/s,7.0,90.56,169.0
129,"(1,)",relu,one-point,permutate,lambda s: 5/s,8.0,88.36,182.0
129,"(1,)",relu,one-point,permutate,lambda s: 5/s,9.0,84.0,179.0
129,"(1,)",relu,one-point,permutate,lambda s: 5/s,10.0,92.46,166.0
130,"(1,)",relu,one-point,normal,0.001,1.0,43.5,308.0
130,"(1,)",relu,one-point,normal,0.001,2.0,182.02,526.0
130,"(1,)",relu,one-point,normal,0.001,3.0,279.48,580.0
130,"(1,)",relu,one-point,normal,0.001,4.0,303.82,619.0
130,"(1,)",relu,one-point,normal,0.001,5.0,302.82,635.0
130,"(1,)",relu,one-point,normal,0.001,6.0,312.1,651.0
130,"(1,)",relu,one-point,normal,0.001,7.0,304.34,585.0
130,"(1,)",relu,one-point,normal,0.001,8.0,320.18,532.0
130,"(1,)",relu,one-point,normal,0.001,9.0,305.76,474.0
130,"(1,)",relu,one-point,normal,0.001,10.0,288.08,614.0
131,"(1,)",relu,one-point,normal,0.01,1.0,16.8,152.0
131,"(1,)",relu,one-point,normal,0.01,2.0,54.12,269.0
131,"(1,)",relu,one-point,normal,0.01,3.0,134.4,273.0
131,"(1,)",relu,one-point,normal,0.01,4.0,155.26,303.0
131,"(1,)",relu,one-point,normal,0.01,5.0,179.88,253.0
131,"(1,)",relu,one-point,normal,0.01,6.0,180.38,267.0
131,"(1,)",relu,one-point,normal,0.01,7.0,190.94,303.0
131,"(1,)",relu,one-point,normal,0.01,8.0,184.04,265.0
131,"(1,)",relu,one-point,normal,0.01,9.0,181.56,280.0
131,"(1,)",relu,one-point,normal,0.01,10.0,194.28,297.0
132,"(1,)",relu,one-point,normal,0.1,1.0,24.86,402.0
132,"(1,)",relu,one-point,normal,0.1,2.0,113.28,428.0
132,"(1,)",relu,one-point,normal,0.1,3.0,308.6,514.0
132,"(1,)",relu,one-point,normal,0.1,4.0,320.34,496.0
132,"(1,)",relu,one-point,normal,0.1,5.0,321.22,484.0
132,"(1,)",relu,one-point,normal,0.1,6.0,342.7,594.0
132,"(1,)",relu,one-point,normal,0.1,7.0,358.1,504.0
132,"(1,)",relu,one-point,normal,0.1,8.0,363.16,539.0
132,"(1,)",relu,one-point,normal,0.1,9.0,366.1,539.0
132,"(1,)",relu,one-point,normal,0.1,10.0,369.52,468.0
133,"(1,)",relu,one-point,normal,0.5,1.0,44.18,510.0
133,"(1,)",relu,one-point,normal,0.5,2.0,228.54,620.0
133,"(1,)",relu,one-point,normal,0.5,3.0,395.22,607.0
133,"(1,)",relu,one-point,normal,0.5,4.0,403.42,718.0
133,"(1,)",relu,one-point,normal,0.5,5.0,426.56,670.0
133,"(1,)",relu,one-point,normal,0.5,6.0,446.76,650.0
133,"(1,)",relu,one-point,normal,0.5,7.0,490.78,712.0
133,"(1,)",relu,one-point,normal,0.5,8.0,461.7,600.0
133,"(1,)",relu,one-point,normal,0.5,9.0,488.44,656.0
133,"(1,)",relu,one-point,normal,0.5,10.0,492.34,656.0
134,"(1,)",relu,one-point,normal,lambda s: 5/s,1.0,25.26,518.0
134,"(1,)",relu,one-point,normal,lambda s: 5/s,2.0,167.76,584.0
134,"(1,)",relu,one-point,normal,lambda s: 5/s,3.0,383.3,573.0
134,"(1,)",relu,one-point,normal,lambda s: 5/s,4.0,426.98,635.0
134,"(1,)",relu,one-point,normal,lambda s: 5/s,5.0,470.34,627.0
134,"(1,)",relu,one-point,normal,lambda s: 5/s,6.0,495.36,658.0
134,"(1,)",relu,one-point,normal,lambda s: 5/s,7.0,476.26,618.0
134,"(1,)",relu,one-point,normal,lambda s: 5/s,8.0,478.06,628.0
134,"(1,)",relu,one-point,normal,lambda s: 5/s,9.0,469.1,647.0
134,"(1,)",relu,one-point,normal,lambda s: 5/s,10.0,480.04,640.0
135,"(1,)",relu,one-point,uniform,0.001,1.0,31.9,334.0
135,"(1,)",relu,one-point,uniform,0.001,2.0,136.34,409.0
135,"(1,)",relu,one-point,uniform,0.001,3.0,225.02,406.0
135,"(1,)",relu,one-point,uniform,0.001,4.0,272.42,444.0
135,"(1,)",relu,one-point,uniform,0.001,5.0,283.6,467.0
135,"(1,)",relu,one-point,uniform,0.001,6.0,300.1,426.0
135,"(1,)",relu,one-point,uniform,0.001,7.0,308.34,404.0
135,"(1,)",relu,one-point,uniform,0.001,8.0,317.32,456.0
135,"(1,)",relu,one-point,uniform,0.001,9.0,314.62,460.0
135,"(1,)",relu,one-point,uniform,0.001,10.0,325.6,434.0
136,"(1,)",relu,one-point,uniform,0.01,1.0,23.88,249.0
136,"(1,)",relu,one-point,uniform,0.01,2.0,62.0,267.0
136,"(1,)",relu,one-point,uniform,0.01,3.0,150.92,369.0
136,"(1,)",relu,one-point,uniform,0.01,4.0,203.78,335.0
136,"(1,)",relu,one-point,uniform,0.01,5.0,216.68,341.0
136,"(1,)",relu,one-point,uniform,0.01,6.0,222.5,362.0
136,"(1,)",relu,one-point,uniform,0.01,7.0,215.9,376.0
136,"(1,)",relu,one-point,uniform,0.01,8.0,217.02,317.0
136,"(1,)",relu,one-point,uniform,0.01,9.0,234.58,298.0
136,"(1,)",relu,one-point,uniform,0.01,10.0,221.82,302.0
137,"(1,)",relu,one-point,uniform,0.1,1.0,51.82,468.0
137,"(1,)",relu,one-point,uniform,0.1,2.0,205.62,536.0
137,"(1,)",relu,one-point,uniform,0.1,3.0,289.92,474.0
137,"(1,)",relu,one-point,uniform,0.1,4.0,331.3,450.0
137,"(1,)",relu,one-point,uniform,0.1,5.0,342.7,547.0
137,"(1,)",relu,one-point,uniform,0.1,6.0,361.22,494.0
137,"(1,)",relu,one-point,uniform,0.1,7.0,383.38,481.0
137,"(1,)",relu,one-point,uniform,0.1,8.0,367.66,506.0
137,"(1,)",relu,one-point,uniform,0.1,9.0,380.9,524.0
137,"(1,)",relu,one-point,uniform,0.1,10.0,364.04,467.0
138,"(1,)",relu,one-point,uniform,0.5,1.0,24.58,205.0
138,"(1,)",relu,one-point,uniform,0.5,2.0,70.48,257.0
138,"(1,)",relu,one-point,uniform,0.5,3.0,138.98,268.0
138,"(1,)",relu,one-point,uniform,0.5,4.0,142.08,236.0
138,"(1,)",relu,one-point,uniform,0.5,5.0,150.76,250.0
138,"(1,)",relu,one-point,uniform,0.5,6.0,150.18,276.0
138,"(1,)",relu,one-point,uniform,0.5,7.0,168.06,262.0
138,"(1,)",relu,one-point,uniform,0.5,8.0,187.38,304.0
138,"(1,)",relu,one-point,uniform,0.5,9.0,170.52,301.0
138,"(1,)",relu,one-point,uniform,0.5,10.0,179.42,267.0
139,"(1,)",relu,one-point,uniform,lambda s: 5/s,1.0,39.28,374.0
139,"(1,)",relu,one-point,uniform,lambda s: 5/s,2.0,227.5,603.0
139,"(1,)",relu,one-point,uniform,lambda s: 5/s,3.0,379.24,587.0
139,"(1,)",relu,one-point,uniform,lambda s: 5/s,4.0,398.76,684.0
139,"(1,)",relu,one-point,uniform,lambda s: 5/s,5.0,426.34,648.0
139,"(1,)",relu,one-point,uniform,lambda s: 5/s,6.0,448.18,616.0
139,"(1,)",relu,one-point,uniform,lambda s: 5/s,7.0,464.22,656.0
139,"(1,)",relu,one-point,uniform,lambda s: 5/s,8.0,469.14,609.0
139,"(1,)",relu,one-point,uniform,lambda s: 5/s,9.0,480.48,613.0
139,"(1,)",relu,one-point,uniform,lambda s: 5/s,10.0,476.26,621.0
140,"(1,)",relu,two-point,nullify,0.001,1.0,38.3,456.0
140,"(1,)",relu,two-point,nullify,0.001,2.0,250.56,651.0
140,"(1,)",relu,two-point,nullify,0.001,3.0,350.62,642.0
140,"(1,)",relu,two-point,nullify,0.001,4.0,361.22,636.0
140,"(1,)",relu,two-point,nullify,0.001,5.0,392.16,599.0
140,"(1,)",relu,two-point,nullify,0.001,6.0,401.08,586.0
140,"(1,)",relu,two-point,nullify,0.001,7.0,442.5,648.0
140,"(1,)",relu,two-point,nullify,0.001,8.0,444.04,577.0
140,"(1,)",relu,two-point,nullify,0.001,9.0,444.3,603.0
140,"(1,)",relu,two-point,nullify,0.001,10.0,455.46,568.0
141,"(1,)",relu,two-point,nullify,0.01,1.0,21.5,244.0
141,"(1,)",relu,two-point,nullify,0.01,2.0,84.7,233.0
141,"(1,)",relu,two-point,nullify,0.01,3.0,138.5,270.0
141,"(1,)",relu,two-point,nullify,0.01,4.0,135.3,244.0
141,"(1,)",relu,two-point,nullify,0.01,5.0,147.32,251.0
141,"(1,)",relu,two-point,nullify,0.01,6.0,162.46,279.0
141,"(1,)",relu,two-point,nullify,0.01,7.0,183.6,297.0
141,"(1,)",relu,two-point,nullify,0.01,8.0,179.62,321.0
141,"(1,)",relu,two-point,nullify,0.01,9.0,180.92,268.0
141,"(1,)",relu,two-point,nullify,0.01,10.0,177.74,253.0
142,"(1,)",relu,two-point,nullify,0.1,1.0,32.94,317.0
142,"(1,)",relu,two-point,nullify,0.1,2.0,62.72,338.0
142,"(1,)",relu,two-point,nullify,0.1,3.0,143.78,338.0
142,"(1,)",relu,two-point,nullify,0.1,4.0,194.32,369.0
142,"(1,)",relu,two-point,nullify,0.1,5.0,162.76,388.0
142,"(1,)",relu,two-point,nullify,0.1,6.0,193.7,384.0
142,"(1,)",relu,two-point,nullify,0.1,7.0,194.22,331.0
142,"(1,)",relu,two-point,nullify,0.1,8.0,205.2,323.0
142,"(1,)",relu,two-point,nullify,0.1,9.0,196.42,348.0
142,"(1,)",relu,two-point,nullify,0.1,10.0,195.54,352.0
143,"(1,)",relu,two-point,nullify,0.5,1.0,36.04,453.0
143,"(1,)",relu,two-point,nullify,0.5,2.0,45.94,452.0
143,"(1,)",relu,two-point,nullify,0.5,3.0,70.9,442.0
143,"(1,)",relu,two-point,nullify,0.5,4.0,84.02,488.0
143,"(1,)",relu,two-point,nullify,0.5,5.0,49.94,351.0
143,"(1,)",relu,two-point,nullify,0.5,6.0,65.72,403.0
143,"(1,)",relu,two-point,nullify,0.5,7.0,62.34,536.0
143,"(1,)",relu,two-point,nullify,0.5,8.0,53.06,293.0
143,"(1,)",relu,two-point,nullify,0.5,9.0,52.94,245.0
143,"(1,)",relu,two-point,nullify,0.5,10.0,43.38,250.0
144,"(1,)",relu,two-point,nullify,lambda s: 5/s,1.0,61.1,574.0
144,"(1,)",relu,two-point,nullify,lambda s: 5/s,2.0,242.3,562.0
144,"(1,)",relu,two-point,nullify,lambda s: 5/s,3.0,387.82,591.0
144,"(1,)",relu,two-point,nullify,lambda s: 5/s,4.0,424.94,635.0
144,"(1,)",relu,two-point,nullify,lambda s: 5/s,5.0,402.34,637.0
144,"(1,)",relu,two-point,nullify,lambda s: 5/s,6.0,405.88,604.0
144,"(1,)",relu,two-point,nullify,lambda s: 5/s,7.0,410.46,702.0
144,"(1,)",relu,two-point,nullify,lambda s: 5/s,8.0,428.02,666.0
144,"(1,)",relu,two-point,nullify,lambda s: 5/s,9.0,423.32,612.0
144,"(1,)",relu,two-point,nullify,lambda s: 5/s,10.0,433.86,703.0
145,"(1,)",relu,two-point,permutate,0.001,1.0,35.48,493.0
145,"(1,)",relu,two-point,permutate,0.001,2.0,226.42,675.0
145,"(1,)",relu,two-point,permutate,0.001,3.0,387.52,620.0
145,"(1,)",relu,two-point,permutate,0.001,4.0,447.38,653.0
145,"(1,)",relu,two-point,permutate,0.001,5.0,455.56,723.0
145,"(1,)",relu,two-point,permutate,0.001,6.0,465.76,617.0
145,"(1,)",relu,two-point,permutate,0.001,7.0,465.78,687.0
145,"(1,)",relu,two-point,permutate,0.001,8.0,460.04,648.0
145,"(1,)",relu,two-point,permutate,0.001,9.0,458.58,642.0
145,"(1,)",relu,two-point,permutate,0.001,10.0,443.06,618.0
146,"(1,)",relu,two-point,permutate,0.01,1.0,35.72,560.0
146,"(1,)",relu,two-point,permutate,0.01,2.0,180.02,603.0
146,"(1,)",relu,two-point,permutate,0.01,3.0,311.82,558.0
146,"(1,)",relu,two-point,permutate,0.01,4.0,422.3,592.0
146,"(1,)",relu,two-point,permutate,0.01,5.0,448.72,581.0
146,"(1,)",relu,two-point,permutate,0.01,6.0,471.88,618.0
146,"(1,)",relu,two-point,permutate,0.01,7.0,466.46,625.0
146,"(1,)",relu,two-point,permutate,0.01,8.0,461.04,613.0
146,"(1,)",relu,two-point,permutate,0.01,9.0,460.86,606.0
146,"(1,)",relu,two-point,permutate,0.01,10.0,458.62,608.0
147,"(1,)",relu,two-point,permutate,0.1,1.0,38.4,287.0
147,"(1,)",relu,two-point,permutate,0.1,2.0,138.2,446.0
147,"(1,)",relu,two-point,permutate,0.1,3.0,254.6,491.0
147,"(1,)",relu,two-point,permutate,0.1,4.0,295.78,410.0
147,"(1,)",relu,two-point,permutate,0.1,5.0,298.64,437.0
147,"(1,)",relu,two-point,permutate,0.1,6.0,292.8,427.0
147,"(1,)",relu,two-point,permutate,0.1,7.0,317.96,467.0
147,"(1,)",relu,two-point,permutate,0.1,8.0,308.64,427.0
147,"(1,)",relu,two-point,permutate,0.1,9.0,315.72,461.0
147,"(1,)",relu,two-point,permutate,0.1,10.0,327.4,448.0
148,"(1,)",relu,two-point,permutate,0.5,1.0,44.12,490.0
